|  x   |  y   |zx |nx |zy |ny | f |no | out  |zr |ng |
| 0000 | ffff | 1 | 0 | 1 | 0 | 1 | 0 | 0000 | 0 | 0 |
| 0000 | ffff | 1 | 1 | 1 | 1 | 1 | 1 | 0000 | 0 | 1 |
| 0000 | ffff | 1 | 1 | 1 | 0 | 1 | 0 | ffff | 0 | 1 |
| 0000 | ffff | 0 | 0 | 1 | 1 | 0 | 0 | 0000 | 0 | 0 |
| 0000 | ffff | 1 | 1 | 0 | 0 | 0 | 0 | ffff | 0 | 1 |
| 0000 | ffff | 0 | 0 | 1 | 1 | 0 | 1 | ffff | 0 | 0 |
| 0000 | ffff | 1 | 1 | 0 | 0 | 0 | 1 | 0000 | 0 | 1 |
| 0000 | ffff | 0 | 0 | 1 | 1 | 1 | 1 | ffff | 0 | 0 |
| 0000 | ffff | 1 | 1 | 0 | 0 | 1 | 1 | 0001 | 0 | 1 |
| 0000 | ffff | 0 | 1 | 1 | 1 | 1 | 1 | 0000 | 0 | 1 |
| 0000 | ffff | 1 | 1 | 0 | 1 | 1 | 1 | 0000 | 0 | 1 |
| 0000 | ffff | 0 | 0 | 1 | 1 | 1 | 0 | 0000 | 0 | 0 |
| 0000 | ffff | 1 | 1 | 0 | 0 | 1 | 0 | fffe | 0 | 1 |
| 0000 | ffff | 0 | 0 | 0 | 0 | 1 | 0 | ffff | 0 | 1 |
| 0000 | ffff | 0 | 1 | 0 | 0 | 1 | 1 | 0001 | 0 | 1 |
| 0000 | ffff | 0 | 0 | 0 | 1 | 1 | 1 | ffff | 0 | 0 |
| 0000 | ffff | 0 | 0 | 0 | 0 | 0 | 0 | 0000 | 0 | 0 |
| 0000 | ffff | 0 | 1 | 0 | 1 | 0 | 1 | ffff | 0 | 0 |
| 0011 | 0003 | 1 | 0 | 1 | 0 | 1 | 0 | 0000 | 0 | 0 |
| 0011 | 0003 | 1 | 1 | 1 | 1 | 1 | 1 | 0015 | 0 | 1 |
| 0011 | 0003 | 1 | 1 | 1 | 0 | 1 | 0 | ffee | 0 | 1 |
| 0011 | 0003 | 0 | 0 | 1 | 1 | 0 | 0 | 0010 | 0 | 0 |
| 0011 | 0003 | 1 | 1 | 0 | 0 | 0 | 0 | 0002 | 0 | 0 |
| 0011 | 0003 | 0 | 0 | 1 | 1 | 0 | 1 | ffef | 0 | 0 |
| 0011 | 0003 | 1 | 1 | 0 | 0 | 0 | 1 | fffd | 0 | 0 |
| 0011 | 0003 | 0 | 0 | 1 | 1 | 1 | 1 | fff2 | 0 | 0 |
| 0011 | 0003 | 1 | 1 | 0 | 0 | 1 | 1 | 000e | 0 | 1 |
| 0011 | 0003 | 0 | 1 | 1 | 1 | 1 | 1 | 0015 | 0 | 1 |
| 0011 | 0003 | 1 | 1 | 0 | 1 | 1 | 1 | 0015 | 0 | 1 |
| 0011 | 0003 | 0 | 0 | 1 | 1 | 1 | 0 | 000d | 0 | 0 |
| 0011 | 0003 | 1 | 1 | 0 | 0 | 1 | 0 | fff1 | 0 | 1 |
| 0011 | 0003 | 0 | 0 | 0 | 0 | 1 | 0 | 0014 | 0 | 0 |
| 0011 | 0003 | 0 | 1 | 0 | 0 | 1 | 1 | 000e | 0 | 1 |
| 0011 | 0003 | 0 | 0 | 0 | 1 | 1 | 1 | fff2 | 0 | 0 |
| 0011 | 0003 | 0 | 0 | 0 | 0 | 0 | 0 | 0001 | 0 | 0 |
| 0011 | 0003 | 0 | 1 | 0 | 1 | 0 | 1 | 0013 | 0 | 1 |
